1,Premium Leather Seat Covers,Genuine leather seat covers for ultimate comfort and durability,INTERIOR,49.99,true
2,All-Weather Rubber Floor Mats,Heavy-duty floor mats to protect your car's interior from dirt and spills,INTERIOR,29.99,true
3,Car Air Freshener,Long-lasting and refreshing scents to keep your car smelling great,INTERIOR,7.99,true
4,Weather-Resistant Car Cover,Protect your vehicle from the elements with this durable car cover,EXTERIOR,59.99,true
5,Windshield Sunshade,Reflective sunshade to keep your car cool in hot weather and protect the dashboard,EXTERIOR,12.99,true
6,Side Mirror Covers,Stylish and weather-resistant covers to protect side mirrors from scratches and elements,EXTERIOR,9.99,true
7,Silicone Blade Wipers,High-quality silicone wipers for streak-free visibility in any weather,EXTERIOR,14.99,true
8,Fast-Charging USB Car Charger,Charge your devices on the go with this powerful and compact car charger,ELECTRONICS,9.99,true
9,Bluetooth Car Kit,Stay connected hands-free with this Bluetooth car kit,ELECTRONICS,34.99,true
10,Backup Camera,High-definition backup camera for enhanced rearview visibility,ELECTRONICS,49.99,true
11,new product,new description,INTERIOR,200.0,true
12,seat cover,comfort and durability,INTERIOR,100.0,false
13,seat cover,comfort and durability,INTERIOR,100.0,false
14,seat cover,comfort and durability,INTERIOR,100.0,false
15,seat cover,comfort and durability,INTERIOR,100.0,false
16,seat cover,comfort and durability,INTERIOR,100.0,false
17,seat cover,comfort and durability,INTERIOR,100.0,false
18,seat cover,comfort and durability,INTERIOR,100.0,false
19,seat cover,comfort and durability,INTERIOR,100.0,false
20,seat cover,comfort and durability,INTERIOR,100.0,false
21,seat cover,comfort and durability,INTERIOR,100.0,false
22,seat cover,comfort and durability,INTERIOR,100.0,false
23,seat cover,comfort and durability,INTERIOR,100.0,false
